age,gender,height_cm,weight_kg,bodyFat_,gripForce,sitAndBendForward_cm,situpsCounts,broadJump_cm
27,M,172.3,75.24,21.3,54.9,18.4,60,217
25,M,165,55.8,15.7,36.4,16.3,53,229
31,M,179.6,78,20.1,44.8,12,49,181
32,M,174.5,71.1,18.4,41.4,15.2,53,219
28,M,173.8,67.7,17.1,43.5,27.1,45,217
36,F,165.4,55.4,22,23.8,21,27,153
42,F,164.5,63.7,32.2,22.7,0.8,18,146
33,M,174.9,77.2,36.9,45.9,12.3,42,234
54,M,166.8,67.5,27.6,40.4,18.6,34,148
28,M,185,84.6,14.4,57.9,12.1,55,213
42,M,169.2,65.4,19.3,43.5,16,68,211
57,F,153,49,20.9,21.5,30,0,90
27,F,156,53.9,35.5,23.1,13.1,28,144
22,M,175.7,67.9,11.3,52.5,19.2,55,232
24,M,181,84.4,20.4,48.9,7.2,54,213
45,F,159,63.1,30.9,34.1,19,30,155
25,F,164.2,66.6,30.2,25.7,22.9,39,178
26,M,179.9,71.5,9.7,59.6,17.8,61,239
26,M,169.2,70.6,21,41.3,15.1,53,225
21,F,162.7,47.2,18.9,25.4,20.5,36,137
25,F,161.7,63.36,31.3,25,10.7,39,160
59,F,155.9,62.7,30.2,36.8,29.1,25,122
38,M,166.7,67.3,23.2,26.1,19.7,62,215
44,M,170,63.3,12.9,44.5,11.6,49,196
23,F,164.1,59.4,29.6,24.6,27.5,32,169
62,M,169,70.7,30.5,39.3,4,43,131
47,F,158.3,53.5,29.2,25.9,8.1,32,151
48,M,175.8,84.5,31.4,33.8,3.7,24,211
36,M,176,81.3,24.5,46.2,8.1,54,232
50,F,159.8,57.1,24.4,30.8,24.4,30,143
25,M,170.9,70.7,15.7,36.4,26.4,38,246
26,M,176.7,77.2,16.3,50,9.1,51,223
28,F,159.5,51.54,24.5,37.2,23,37,145
30,M,172.1,79.5,26.7,34.7,-2,40,192
49,F,151.5,52,27.6,23.8,21.3,39,154
40,M,177.6,88.6,20.3,51.5,12.1,54,224
21,M,172.5,66.4,12.5,51.2,6.3,46,178
31,M,177.5,79.5,23,51.2,18.4,62,208
32,M,178,84.5,21.2,52.3,16.2,62,232
27,M,177.6,79.7,22.8,48,1.8,59,219
42,M,168,61,14.9,28.9,1,32,230
52,M,173.6,84.9,30.3,42,9,43,185
39,M,173.3,69.8,23.8,40,18.2,38,227
33,F,159.6,60.5,32.1,21.9,22.2,24,129
25,F,161.8,57.7,21.7,29.3,26.6,50,190
31,M,169.9,73.1,19.2,45,14.5,37,249
34,M,183.6,76.82,16.3,46.3,14.2,55,220
26,M,172.1,66.1,24.9,19.9,-9.9,44,159
28,M,180.1,82.1,15,52.6,18.8,55,247
58,M,164.2,64,19.8,36.8,18.3,38,205
48,M,169.8,75.4,14.7,51.4,24.7,55,246
23,M,180.1,65.9,14.4,45.4,18.1,56,234
38,F,157.2,51.7,27.3,25.1,14.7,19,139
43,F,168.3,69.3,31.9,32.1,20.2,33,164
21,F,159.5,51.3,35.8,16.6,2.1,5,105
56,M,166.7,56.9,16.5,41.6,17.8,30,198
24,M,164.4,66.2,17.1,40.2,16.2,43,232
58,F,146.5,46.4,32.9,18.7,17.4,20,111
